median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude
168800,3.2452,17,5199,1023,2036,890,38.58,-122.83
197400,3.3864,25,2879,723,2077,649,34.21,-118.48
239200,4.4148,17,1997,340,952,341,33.7,-117.98
152000,3.1042,14,1006,187,462,185,39.18,-121.16
450700,8.4196,21,3856,547,1422,535,34.15,-118.58
145800,2.9125,32,1684,359,454,209,39.17,-120.15
203700,4.9,12,3605,576,1556,549,38.72,-121.24
212600,4.1439,36,1435,249,606,234,33.85,-118.15
70900,2.5893,29,3494,662,1781,616,36.8,-119.76
166800,3.7238,34,2118,437,1414,442,33.92,-118.08
100000,3.1406,41,831,149,443,146,36.37,-119.78
166700,4.226,11,1283,390,718,345,37.33,-121.9
198400,4.5427,16,3249,947,1637,841,37.35,-121.99
99800,4.0227,26,1708,299,911,290,38.72,-121.47
47500,5.3374,2,96,18,30,16,33.26,-115.8
307600,2.8553,38,2222,542,1067,512,33.64,-117.91
90800,2.2917,44,376,87,273,107,34.09,-117.28
141000,4.1797,6,10565,1767,5690,1555,34.12,-117.47
120000,3.0398,5,2881,584,1490,570,37.63,-121.03
53900,2.4952,14,1724,315,939,302,39.47,-121.54
182100,1.4444,32,296,139,511,133,33.78,-118.25
399400,5.22,18,6075,1056,2571,1018,34.16,-118.84
137500,3.5167,46,860,130,496,147,37.4,-120.69
500001,9.7912,44,1745,237,693,248,34.13,-118.1
229200,3.1065,48,2365,490,1034,475,37.88,-122.29
304000,4.5,34,2254,357,715,306,37.93,-122.3
190100,2.8214,29,2377,476,1669,499,36.94,-121.8
240700,7.0875,41,1411,233,626,214,37.79,-122.18
221300,4.3269,34,3852,733,1661,696,36.59,-121.84
70300,1.5208,19,1396,336,940,309,39.15,-121.6
208100,2.3347,29,1422,409,1057,390,33.82,-117.94
135500,4.7396,25,1287,224,727,236,38.73,-121.44
91200,2.7083,18,1996,405,1270,400,33.74,-116.95
296400,4.9957,22,6433,1174,2703,1125,33.75,-117.83
492500,6.431,30,1879,226,740,266,34,-118.35
170000,1.2185,22,3682,1270,2024,1250,37.82,-122.26
224700,4,26,2156,509,1142,470,34.19,-118.5
184300,2.8622,26,2737,614,1877,606,33.79,-117.92
